Model,MD5,Revision Number,Version Number
fairseq_gloss,d7e2e048018175ae77f075420b976656,0ffaf86be201459e8e99dc2ae1bb137c1ec699f8,0.2
fairseq_seg,44cd9d6e562350fa87c20727f87612bc,0ffaf86be201459e8e99dc2ae1bb137c1ec699f9,0.2
coling_seg_cls,9227e8a60e6d2bbc439965488818a9a9,0ffaf86be201459e8e99dc2ae1bb137c1ec699f10,0.2
coling_seg_dumb,ca0e6747058d816668162d74fa4f48f6,0ffaf86be201459e8e99dc2ae1bb137c1ec699f11,0.2
coling_seg_smart,742bc2f06102624ffe47f55185b7a93e,0ffaf86be201459e8e99dc2ae1bb137c1ec699f12,0.2
